time_ms,iso_utc,funding_rate_hourly,premium
1780992000081,2026-06-09T08:00:00.081000+00:00,0.0000125,-0.0003368583
1780995600001,2026-06-09T09:00:00.001000+00:00,0.0000125,-0.000369435
1780999200031,2026-06-09T10:00:00.031000+00:00,0.0000125,-0.0003575499
1781002800067,2026-06-09T11:00:00.067000+00:00,0.0000125,-0.0003424406
1781006400036,2026-06-09T12:00:00.036000+00:00,0.0000097711,-0.0004218311
1781010000031,2026-06-09T13:00:00.031000+00:00,0.0000125,-0.0001728454
1781013600014,2026-06-09T14:00:00.014000+00:00,0.0000107413,-0.0004140696
1781017200029,2026-06-09T15:00:00.029000+00:00,0.0000010995,-0.0004912036
1781020800059,2026-06-09T16:00:00.059000+00:00,-0.0000109628,-0.0005877023
1781024400048,2026-06-09T17:00:00.048000+00:00,0.0000125,-0.000285712
1781028000032,2026-06-09T18:00:00.032000+00:00,-0.0000053384,-0.0005427075
1781031600014,2026-06-09T19:00:00.014000+00:00,-0.0000047039,-0.000537631
1781035200045,2026-06-09T20:00:00.045000+00:00,0.0000007761,-0.0004937913
1781038800056,2026-06-09T21:00:00.056000+00:00,0.0000125,-0.0003622547
1781042400063,2026-06-09T22:00:00.063000+00:00,0.0000125,-0.0003998294
1781046000059,2026-06-09T23:00:00.059000+00:00,-0.0000032997,-0.0005263976
1781049600070,2026-06-10T00:00:00.070000+00:00,-0.0000092193,-0.0005737546
1781053200000,2026-06-10T01:00:00+00:00,0.0000091821,-0.0004265434
1781056800069,2026-06-10T02:00:00.069000+00:00,0.0000125,-0.0001200985
1781060400030,2026-06-10T03:00:00.030000+00:00,0.0000068746,-0.0004450036
1781064000056,2026-06-10T04:00:00.056000+00:00,0.0000030511,-0.0004755915
1781067600003,2026-06-10T05:00:00.003000+00:00,0.0000006338,-0.0004949298
1781071200052,2026-06-10T06:00:00.052000+00:00,0.0000051849,-0.0004585208
1781074800059,2026-06-10T07:00:00.059000+00:00,-0.0000125704,-0.0006005634
1781078400060,2026-06-10T08:00:00.060000+00:00,-0.0000248975,-0.0006991801
1781082000053,2026-06-10T09:00:00.053000+00:00,-0.0000042619,-0.0005340956
1781085600013,2026-06-10T10:00:00.013000+00:00,-0.000036093,-0.0007887438
1781089200011,2026-06-10T11:00:00.011000+00:00,-0.000032126,-0.0007570076
1781092800032,2026-06-10T12:00:00.032000+00:00,-0.000037857,-0.0008028556
1781096400058,2026-06-10T13:00:00.058000+00:00,-0.0000289148,-0.0007313188
1781100000031,2026-06-10T14:00:00.031000+00:00,-0.0000002024,-0.0005016194
1781103600057,2026-06-10T15:00:00.057000+00:00,0.0000041922,-0.0004664624
1781107200069,2026-06-10T16:00:00.069000+00:00,0.0000047949,-0.0004616409
1781110800012,2026-06-10T17:00:00.012000+00:00,0.0000028836,-0.000476931
1781114400035,2026-06-10T18:00:00.035000+00:00,0.0000001057,-0.0004991545
1781118000046,2026-06-10T19:00:00.046000+00:00,-0.0000224878,-0.0006799027
1781121600093,2026-06-10T20:00:00.093000+00:00,-0.0000225461,-0.000680369
1781125200023,2026-06-10T21:00:00.023000+00:00,-0.0000155997,-0.0006247977
1781128800019,2026-06-10T22:00:00.019000+00:00,-0.0000117845,-0.0005942757
1781132400077,2026-06-10T23:00:00.077000+00:00,-0.0000029939,-0.0005239509
1781136000009,2026-06-11T00:00:00.009000+00:00,-0.0000191691,-0.0006533531
1781139600039,2026-06-11T01:00:00.039000+00:00,-0.0000124924,-0.0005999389
1781143200020,2026-06-11T02:00:00.020000+00:00,-0.0000190281,-0.0006522246
1781146800013,2026-06-11T03:00:00.013000+00:00,-0.0000169634,-0.0006357069
1781150400009,2026-06-11T04:00:00.009000+00:00,0.0000125,-0.0003767197
1781154000046,2026-06-11T05:00:00.046000+00:00,0.0000048243,-0.0004614055
1781157600039,2026-06-11T06:00:00.039000+00:00,0.0000093897,-0.0004248827
1781161200008,2026-06-11T07:00:00.008000+00:00,-0.0000187679,-0.0006501429
1781164800045,2026-06-11T08:00:00.045000+00:00,-0.0000269031,-0.0007152252
1781168400054,2026-06-11T09:00:00.054000+00:00,-0.0000059056,-0.0005472451
1781172000038,2026-06-11T10:00:00.038000+00:00,0.0000125,-0.0003253515
1781175600033,2026-06-11T11:00:00.033000+00:00,0.0000065731,-0.0004474153
1781179200033,2026-06-11T12:00:00.033000+00:00,0.0000125,-0.00039835
1781182800055,2026-06-11T13:00:00.055000+00:00,0.0000125,-0.0003362721
1781186400020,2026-06-11T14:00:00.020000+00:00,0.0000125,-0.000346212
1781190000013,2026-06-11T15:00:00.013000+00:00,0.0000125,-0.0003735859
1781193600017,2026-06-11T16:00:00.017000+00:00,0.0000125,-0.0002311715
1781197200083,2026-06-11T17:00:00.083000+00:00,0.0000125,-0.0001868983
1781200800016,2026-06-11T18:00:00.016000+00:00,0.0000125,-0.0001405255
1781204400018,2026-06-11T19:00:00.018000+00:00,0.0000017982,-0.0004856146
1781208000005,2026-06-11T20:00:00.005000+00:00,-0.0000051076,-0.0005408605
